date,msg,poland,ukraine,belarus,moldova,hungary,slovakia,romania,latvia,estonia,germany,russia,lithuania,czechia,italy,austria,denmark,sweden,finland,ireland,france,turkey,spain,portugal,slovenia,netherlands,belgium,bulgaria,croatia,united kingdom,macedonia,serbia,bosnia,switzerland,greece,luxembourg,iceland,malta,norway,montenegro,cyprus,albania
2022-03-25,11383.0,134.0,0.0,7.0,13.0,3.0,1.0,10.0,0.0,1.0,36.0,9.0,4.0,14.0,8.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,2.0,3.0,11.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-03-26,10543.0,126.0,0.0,6.0,13.0,3.0,1.0,10.0,0.0,1.0,36.0,8.0,3.0,14.0,7.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,1.0,0.0,3.0,3.0,11.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-03-27,9416.0,113.0,0.0,6.0,10.0,3.0,1.0,10.0,0.0,1.0,30.0,10.0,2.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,1.0,0.0,3.0,3.0,9.0,0.0,5.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-03-28,8582.0,99.0,0.0,5.0,6.0,4.0,1.0,8.0,0.0,1.0,30.0,10.0,2.0,13.0,6.0,5.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,1.0,0.0,3.0,2.0,9.0,0.0,5.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-03-29,7910.0,94.0,0.0,8.0,6.0,4.0,0.0,8.0,0.0,1.0,31.0,10.0,1.0,13.0,6.0,5.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,3.0,2.0,9.0,0.0,4.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30,7178.0,80.0,0.0,6.0,4.0,4.0,0.0,7.0,0.0,1.0,30.0,10.0,1.0,12.0,7.0,8.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,0.0,2.0,2.0,7.0,0.0,4.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6728.0,77.0,0.0,6.0,4.0,3.0,0.0,7.0,0.0,1.0,30.0,9.0,1.0,11.0,7.0,8.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,0.0,2.0,2.0,7.0,0.0,4.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,6335.0,70.0,0.0,6.0,3.0,2.0,0.0,6.0,0.0,1.0,29.0,9.0,0.0,11.0,8.0,8.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,2.0,2.0,6.0,0.0,4.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,6079.0,66.0,0.0,6.0,3.0,2.0,0.0,6.0,0.0,1.0,28.0,8.0,1.0,13.0,7.0,8.0,1.0,0.0,0.0,0.0,6.0,2.0,5.0,0.0,0.0,2.0,2.0,6.0,0.0,4.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03,5987.0,66.0,0.0,4.0,2.0,2.0,0.0,6.0,1.0,1.0,33.0,11.0,1.0,12.0,6.0,8.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,2.0,2.0,7.0,0.0,3.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,5679.0,61.0,0.0,4.0,2.0,2.0,0.0,6.0,1.0,1.0,32.0,10.0,1.0,12.0,5.0,8.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,2.0,6.0,0.0,3.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,5305.0,56.0,0.0,4.0,2.0,1.0,0.0,6.0,1.0,1.0,28.0,9.0,1.0,8.0,6.0,7.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,4893.0,54.0,0.0,3.0,2.0,1.0,0.0,4.0,1.0,1.0,28.0,8.0,1.0,7.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,4644.0,49.0,0.0,4.0,2.0,1.0,0.0,3.0,1.0,0.0,30.0,9.0,1.0,7.0,5.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,4482.0,50.0,0.0,7.0,2.0,1.0,0.0,3.0,2.0,0.0,29.0,10.0,1.0,6.0,4.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-09,4302.0,47.0,0.0,7.0,4.0,1.0,0.0,2.0,2.0,0.0,25.0,11.0,2.0,6.0,4.0,7.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-10,4176.0,43.0,0.0,7.0,3.0,1.0,0.0,2.0,2.0,0.0,29.0,12.0,2.0,6.0,4.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-11,4187.0,47.0,0.0,7.0,3.0,1.0,0.0,2.0,2.0,0.0,29.0,10.0,2.0,4.0,5.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-12,4161.0,43.0,0.0,7.0,3.0,0.0,0.0,2.0,2.0,0.0,27.0,9.0,2.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-13,4077.0,42.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,25.0,9.0,2.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-14,3940.0,42.0,0.0,6.0,3.0,0.0,0.0,2.0,3.0,0.0,23.0,10.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-15,3792.0,43.0,0.0,7.0,3.0,0.0,0.0,2.0,3.0,0.0,22.0,10.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-16,3656.0,45.0,0.0,7.0,3.0,0.0,0.0,2.0,3.0,0.0,21.0,9.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-17,3496.0,46.0,0.0,7.0,4.0,0.0,0.0,2.0,3.0,0.0,21.0,10.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-18,3347.0,43.0,0.0,7.0,4.0,0.0,0.0,1.0,3.0,0.0,18.0,8.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-19,3323.0,44.0,0.0,8.0,4.0,0.0,0.0,1.0,3.0,0.0,19.0,8.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-20,3294.0,46.0,0.0,8.0,4.0,0.0,0.0,1.0,3.0,0.0,19.0,8.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-21,3289.0,47.0,0.0,9.0,4.0,0.0,0.0,1.0,4.0,0.0,19.0,9.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-22,3221.0,44.0,0.0,8.0,4.0,0.0,0.0,1.0,4.0,2.0,15.0,9.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-04-23,3052.0,41.0,0.0,5.0,4.0,0.0,0.0,2.0,3.0,2.0,16.0,9.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-24,2879.0,40.0,0.0,6.0,2.0,0.0,0.0,2.0,3.0,2.0,16.0,8.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,2859.0,42.0,0.0,6.0,3.0,0.0,0.0,3.0,3.0,2.0,11.0,8.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,2778.0,41.0,0.0,8.0,3.0,0.0,0.0,3.0,3.0,2.0,11.0,11.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-27,2712.0,42.0,0.0,8.0,4.0,0.0,0.0,3.0,3.0,2.0,11.0,11.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-28,2603.0,42.0,0.0,8.0,4.0,0.0,0.0,3.0,3.0,2.0,11.0,13.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-29,2561.0,44.0,0.0,8.0,3.0,0.0,0.0,3.0,2.0,2.0,13.0,14.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,2512.0,44.0,0.0,8.0,3.0,0.0,0.0,3.0,2.0,2.0,12.0,14.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,2437.0,43.0,0.0,8.0,3.0,0.0,0.0,3.0,2.0,2.0,14.0,13.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-02,2440.0,45.0,0.0,8.0,2.0,0.0,0.0,3.0,2.0,2.0,16.0,12.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,2347.0,44.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,2.0,14.0,12.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-04,2231.0,42.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,2.0,13.0,12.0,3.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-05,2236.0,42.0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,2.0,13.0,14.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-06,2151.0,39.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,2.0,12.0,13.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-07,2027.0,39.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,12.0,12.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-08,2037.0,41.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0,11.0,1.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-09,2061.0,39.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,13.0,11.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-10,1928.0,36.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
